league_slug,team_name,player_name,first_name,last_name,position,nationality,age,photo_url,price,external_player_id
premier-league,"Brentford","Marco Defender (Brentford)","Marco","Defender (Brentford)",DEF,"Brazil",25,"",5.1,pl_4_p2
premier-league,"Brentford","Lucas Back (Brentford)","Lucas","Back (Brentford)",DEF,"France",26,"",4.3,pl_4_p3
premier-league,"Brentford","Matteo Midfielder (Brentford)","Matteo","Midfielder (Brentford)",MID,"Italy",24,"",5.5,pl_4_p4
premier-league,"Brentford","Gabriel Playmaker (Brentford)","Gabriel","Playmaker (Brentford)",MID,"Argentina",27,"",4.7,pl_4_p5
premier-league,"Brentford","Alex Striker (Brentford)","Alex","Striker (Brentford)",FWD,"England",22,"",5.9,pl_4_p6
premier-league,"Brentford","Carlos Goal (Brentford)","Carlos","Goal (Brentford)",FWD,"Spain",29,"",5.1,pl_4_p7
premier-league,"Brighton & Hove Albion","David Keeper (Brighton & Hove Albion)","David","Keeper (Brighton & Hove Albion)",GK,"Spain",28,"",4.3,pl_5_p1
premier-league,"Brighton & Hove Albion","Marco Defender (Brighton & Hove Albion)","Marco","Defender (Brighton & Hove Albion)",DEF,"Brazil",25,"",4.0,pl_5_p2
premier-league,"Brighton & Hove Albion","Lucas Back (Brighton & Hove Albion)","Lucas","Back (Brighton & Hove Albion)",DEF,"France",26,"",4.7,pl_5_p3
premier-league,"Brighton & Hove Albion","Matteo Midfielder (Brighton & Hove Albion)","Matteo","Midfielder (Brighton & Hove Albion)",MID,"Italy",24,"",5.9,pl_5_p4
premier-league,"Brighton & Hove Albion","Gabriel Playmaker (Brighton & Hove Albion)","Gabriel","Playmaker (Brighton & Hove Albion)",MID,"Argentina",27,"",5.1,pl_5_p5
premier-league,"Brighton & Hove Albion","Alex Striker (Brighton & Hove Albion)","Alex","Striker (Brighton & Hove Albion)",FWD,"England",22,"",6.3,pl_5_p6
premier-league,"Brighton & Hove Albion","Carlos Goal (Brighton & Hove Albion)","Carlos","Goal (Brighton & Hove Albion)",FWD,"Spain",29,"",5.5,pl_5_p7
premier-league,"Chelsea","David Keeper (Chelsea)","David","Keeper (Chelsea)",GK,"Spain",28,"",5.9,pl_6_p1
premier-league,"Chelsea","Marco Defender (Chelsea)","Marco","Defender (Chelsea)",DEF,"Brazil",25,"",5.6,pl_6_p2
premier-league,"Chelsea","Lucas Back (Chelsea)","Lucas","Back (Chelsea)",DEF,"France",26,"",6.3,pl_6_p3
premier-league,"Chelsea","Matteo Midfielder (Chelsea)","Matteo","Midfielder (Chelsea)",MID,"Italy",24,"",6.0,pl_6_p4
premier-league,"Chelsea","Gabriel Playmaker (Chelsea)","Gabriel","Playmaker (Chelsea)",MID,"Argentina",27,"",6.7,pl_6_p5
premier-league,"Chelsea","Alex Striker (Chelsea)","Alex","Striker (Chelsea)",FWD,"England",22,"",6.4,pl_6_p6
premier-league,"Chelsea","Carlos Goal (Chelsea)","Carlos","Goal (Chelsea)",FWD,"Spain",29,"",7.1,pl_6_p7
premier-league,"Crystal Palace","David Keeper (Crystal Palace)","David","Keeper (Crystal Palace)",GK,"Spain",28,"",3.6,pl_7_p1
premier-league,"Crystal Palace","Marco Defender (Crystal Palace)","Marco","Defender (Crystal Palace)",DEF,"Brazil",25,"",4.8,pl_7_p2
premier-league,"Crystal Palace","Lucas Back (Crystal Palace)","Lucas","Back (Crystal Palace)",DEF,"France",26,"",4.0,pl_7_p3
premier-league,"Crystal Palace","Matteo Midfielder (Crystal Palace)","Matteo","Midfielder (Crystal Palace)",MID,"Italy",24,"",5.2,pl_7_p4
premier-league,"Crystal Palace","Gabriel Playmaker (Crystal Palace)","Gabriel","Playmaker (Crystal Palace)",MID,"Argentina",27,"",5.9,pl_7_p5
premier-league,"Crystal Palace","Alex Striker (Crystal Palace)","Alex","Striker (Crystal Palace)",FWD,"England",22,"",5.6,pl_7_p6
premier-league,"Crystal Palace","Carlos Goal (Crystal Palace)","Carlos","Goal (Crystal Palace)",FWD,"Spain",29,"",6.3,pl_7_p7
premier-league,"Everton","David Keeper (Everton)","David","Keeper (Everton)",GK,"Spain",28,"",4.0,pl_8_p1
premier-league,"Everton","Marco Defender (Everton)","Marco","Defender (Everton)",DEF,"Brazil",25,"",5.2,pl_8_p2
premier-league,"Everton","Lucas Back (Everton)","Lucas","Back (Everton)",DEF,"France",26,"",4.4,pl_8_p3
premier-league,"Everton","Matteo Midfielder (Everton)","Matteo","Midfielder (Everton)",MID,"Italy",24,"",5.6,pl_8_p4
premier-league,"Everton","Gabriel Playmaker (Everton)","Gabriel","Playmaker (Everton)",MID,"Argentina",27,"",4.8,pl_8_p5
premier-league,"Everton","Alex Striker (Everton)","Alex","Striker (Everton)",FWD,"England",22,"",6.0,pl_8_p6
premier-league,"Everton","Carlos Goal (Everton)","Carlos","Goal (Everton)",FWD,"Spain",29,"",5.2,pl_8_p7
premier-league,"Fulham","David Keeper (Fulham)","David","Keeper (Fulham)",GK,"Spain",28,"",4.4,pl_9_p1
premier-league,"Fulham","Marco Defender (Fulham)","Marco","Defender (Fulham)",DEF,"Brazil",25,"",4.1,pl_9_p2
premier-league,"Fulham","Lucas Back (Fulham)","Lucas","Back (Fulham)",DEF,"France",26,"",4.8,pl_9_p3
premier-league,"Fulham","Matteo Midfielder (Fulham)","Matteo","Midfielder (Fulham)",MID,"Italy",24,"",4.5,pl_9_p4
premier-league,"Fulham","Gabriel Playmaker (Fulham)","Gabriel","Playmaker (Fulham)",MID,"Argentina",27,"",5.2,pl_9_p5
premier-league,"Fulham","Alex Striker (Fulham)","Alex","Striker (Fulham)",FWD,"England",22,"",6.4,pl_9_p6
premier-league,"Fulham","Carlos Goal (Fulham)","Carlos","Goal (Fulham)",FWD,"Spain",29,"",5.6,pl_9_p7
premier-league,"Ipswich Town","David Keeper (Ipswich Town)","David","Keeper (Ipswich Town)",GK,"Spain",28,"",4.8,pl_10_p1
premier-league,"Ipswich Town","Marco Defender (Ipswich Town)","Marco","Defender (Ipswich Town)",DEF,"Brazil",25,"",4.5,pl_10_p2
premier-league,"Ipswich Town","Lucas Back (Ipswich Town)","Lucas","Back (Ipswich Town)",DEF,"France",26,"",5.2,pl_10_p3
premier-league,"Ipswich Town","Matteo Midfielder (Ipswich Town)","Matteo","Midfielder (Ipswich Town)",MID,"Italy",24,"",4.9,pl_10_p4
premier-league,"Ipswich Town","Gabriel Playmaker (Ipswich Town)","Gabriel","Playmaker (Ipswich Town)",MID,"Argentina",27,"",5.6,pl_10_p5
premier-league,"Ipswich Town","Alex Striker (Ipswich Town)","Alex","Striker (Ipswich Town)",FWD,"England",22,"",5.3,pl_10_p6
premier-league,"Ipswich Town","Carlos Goal (Ipswich Town)","Carlos","Goal (Ipswich Town)",FWD,"Spain",29,"",6.0,pl_10_p7
premier-league,"Leicester City","David Keeper (Leicester City)","David","Keeper (Leicester City)",GK,"Spain",28,"",3.7,pl_11_p1
premier-league,"Leicester City","Marco Defender (Leicester City)","Marco","Defender (Leicester City)",DEF,"Brazil",25,"",4.9,pl_11_p2
premier-league,"Leicester City","Lucas Back (Leicester City)","Lucas","Back (Leicester City)",DEF,"France",26,"",4.1,pl_11_p3
premier-league,"Leicester City","Matteo Midfielder (Leicester City)","Matteo","Midfielder (Leicester City)",MID,"Italy",24,"",5.3,pl_11_p4
premier-league,"Leicester City","Gabriel Playmaker (Leicester City)","Gabriel","Playmaker (Leicester City)",MID,"Argentina",27,"",4.5,pl_11_p5
premier-league,"Leicester City","Alex Striker (Leicester City)","Alex","Striker (Leicester City)",FWD,"England",22,"",5.7,pl_11_p6
premier-league,"Leicester City","Carlos Goal (Leicester City)","Carlos","Goal (Leicester City)",FWD,"Spain",29,"",6.4,pl_11_p7
premier-league,"Liverpool","David Keeper (Liverpool)","David","Keeper (Liverpool)",GK,"Spain",28,"",6.5,pl_12_p1
premier-league,"Liverpool","Marco Defender (Liverpool)","Marco","Defender (Liverpool)",DEF,"Brazil",25,"",7.8,pl_12_p2
premier-league,"Liverpool","Lucas Back (Liverpool)","Lucas","Back (Liverpool)",DEF,"France",26,"",7.0,pl_12_p3
premier-league,"Liverpool","Matteo Midfielder (Liverpool)","Matteo","Midfielder (Liverpool)",MID,"Italy",24,"",8.2,pl_12_p4
premier-league,"Liverpool","Gabriel Playmaker (Liverpool)","Gabriel","Playmaker (Liverpool)",MID,"Argentina",27,"",7.4,pl_12_p5
premier-league,"Liverpool","Alex Striker (Liverpool)","Alex","Striker (Liverpool)",FWD,"England",22,"",8.6,pl_12_p6
premier-league,"Liverpool","Carlos Goal (Liverpool)","Carlos","Goal (Liverpool)",FWD,"Spain",29,"",7.8,pl_12_p7
premier-league,"Manchester City","David Keeper (Manchester City)","David","Keeper (Manchester City)",GK,"Spain",28,"",6.5,pl_13_p1
premier-league,"Manchester City","Marco Defender (Manchester City)","Marco","Defender (Manchester City)",DEF,"Brazil",25,"",6.7,pl_13_p2
premier-league,"Manchester City","Lucas Back (Manchester City)","Lucas","Back (Manchester City)",DEF,"France",26,"",7.4,pl_13_p3
premier-league,"Manchester City","Matteo Midfielder (Manchester City)","Matteo","Midfielder (Manchester City)",MID,"Italy",24,"",7.1,pl_13_p4
premier-league,"Manchester City","Gabriel Playmaker (Manchester City)","Gabriel","Playmaker (Manchester City)",MID,"Argentina",27,"",7.8,pl_13_p5
premier-league,"Manchester City","Alex Striker (Manchester City)","Alex","Striker (Manchester City)",FWD,"England",22,"",7.5,pl_13_p6
premier-league,"Manchester City","Carlos Goal (Manchester City)","Carlos","Goal (Manchester City)",FWD,"Spain",29,"",8.2,pl_13_p7
premier-league,"Manchester United","David Keeper (Manchester United)","David","Keeper (Manchester United)",GK,"Spain",28,"",6.1,pl_14_p1
premier-league,"Manchester United","Marco Defender (Manchester United)","Marco","Defender (Manchester United)",DEF,"Brazil",25,"",5.8,pl_14_p2
premier-league,"Manchester United","Lucas Back (Manchester United)","Lucas","Back (Manchester United)",DEF,"France",26,"",6.5,pl_14_p3
premier-league,"Manchester United","Matteo Midfielder (Manchester United)","Matteo","Midfielder (Manchester United)",MID,"Italy",24,"",6.2,pl_14_p4
premier-league,"Manchester United","Gabriel Playmaker (Manchester United)","Gabriel","Playmaker (Manchester United)",MID,"Argentina",27,"",6.9,pl_14_p5
premier-league,"Manchester United","Alex Striker (Manchester United)","Alex","Striker (Manchester United)",FWD,"England",22,"",6.6,pl_14_p6
premier-league,"Manchester United","Carlos Goal (Manchester United)","Carlos","Goal (Manchester United)",FWD,"Spain",29,"",7.3,pl_14_p7
premier-league,"Newcastle United","David Keeper (Newcastle United)","David","Keeper (Newcastle United)",GK,"Spain",28,"",5.0,pl_15_p1
premier-league,"Newcastle United","Marco Defender (Newcastle United)","Marco","Defender (Newcastle United)",DEF,"Brazil",25,"",6.2,pl_15_p2
premier-league,"Newcastle United","Lucas Back (Newcastle United)","Lucas","Back (Newcastle United)",DEF,"France",26,"",5.4,pl_15_p3
premier-league,"Newcastle United","Matteo Midfielder (Newcastle United)","Matteo","Midfielder (Newcastle United)",MID,"Italy",24,"",6.6,pl_15_p4
premier-league,"Newcastle United","Gabriel Playmaker (Newcastle United)","Gabriel","Playmaker (Newcastle United)",MID,"Argentina",27,"",5.8,pl_15_p5
premier-league,"Newcastle United","Alex Striker (Newcastle United)","Alex","Striker (Newcastle United)",FWD,"England",22,"",7.0,pl_15_p6
premier-league,"Newcastle United","Carlos Goal (Newcastle United)","Carlos","Goal (Newcastle United)",FWD,"Spain",29,"",6.2,pl_15_p7
premier-league,"Nottingham Forest","David Keeper (Nottingham Forest)","David","Keeper (Nottingham Forest)",GK,"Spain",28,"",4.2,pl_16_p1
premier-league,"Nottingham Forest","Marco Defender (Nottingham Forest)","Marco","Defender (Nottingham Forest)",DEF,"Brazil",25,"",5.4,pl_16_p2
premier-league,"Nottingham Forest","Lucas Back (Nottingham Forest)","Lucas","Back (Nottingham Forest)",DEF,"France",26,"",4.6,pl_16_p3
premier-league,"Nottingham Forest","Matteo Midfielder (Nottingham Forest)","Matteo","Midfielder (Nottingham Forest)",MID,"Italy",24,"",5.8,pl_16_p4
premier-league,"Nottingham Forest","Gabriel Playmaker (Nottingham Forest)","Gabriel","Playmaker (Nottingham Forest)",MID,"Argentina",27,"",5.0,pl_16_p5
premier-league,"Nottingham Forest","Alex Striker (Nottingham Forest)","Alex","Striker (Nottingham Forest)",FWD,"England",22,"",6.2,pl_16_p6
premier-league,"Nottingham Forest","Carlos Goal (Nottingham Forest)","Carlos","Goal (Nottingham Forest)",FWD,"Spain",29,"",5.4,pl_16_p7
premier-league,"Southampton","David Keeper (Southampton)","David","Keeper (Southampton)",GK,"Spain",28,"",4.6,pl_17_p1
premier-league,"Southampton","Marco Defender (Southampton)","Marco","Defender (Southampton)",DEF,"Brazil",25,"",4.3,pl_17_p2
premier-league,"Southampton","Lucas Back (Southampton)","Lucas","Back (Southampton)",DEF,"France",26,"",5.0,pl_17_p3
premier-league,"Southampton","Matteo Midfielder (Southampton)","Matteo","Midfielder (Southampton)",MID,"Italy",24,"",4.7,pl_17_p4
premier-league,"Southampton","Gabriel Playmaker (Southampton)","Gabriel","Playmaker (Southampton)",MID,"Argentina",27,"",5.4,pl_17_p5
premier-league,"Southampton","Alex Striker (Southampton)","Alex","Striker (Southampton)",FWD,"England",22,"",5.1,pl_17_p6
premier-league,"Southampton","Carlos Goal (Southampton)","Carlos","Goal (Southampton)",FWD,"Spain",29,"",5.8,pl_17_p7
premier-league,"Tottenham Hotspur","David Keeper (Tottenham Hotspur)","David","Keeper (Tottenham Hotspur)",GK,"Spain",28,"",4.7,pl_18_p1
premier-league,"Tottenham Hotspur","Marco Defender (Tottenham Hotspur)","Marco","Defender (Tottenham Hotspur)",DEF,"Brazil",25,"",5.9,pl_18_p2
premier-league,"Tottenham Hotspur","Lucas Back (Tottenham Hotspur)","Lucas","Back (Tottenham Hotspur)",DEF,"France",26,"",6.6,pl_18_p3
premier-league,"Tottenham Hotspur","Matteo Midfielder (Tottenham Hotspur)","Matteo","Midfielder (Tottenham Hotspur)",MID,"Italy",24,"",6.3,pl_18_p4
premier-league,"Tottenham Hotspur","Gabriel Playmaker (Tottenham Hotspur)","Gabriel","Playmaker (Tottenham Hotspur)",MID,"Argentina",27,"",7.0,pl_18_p5
premier-league,"Tottenham Hotspur","Alex Striker (Tottenham Hotspur)","Alex","Striker (Tottenham Hotspur)",FWD,"England",22,"",6.7,pl_18_p6
premier-league,"Tottenham Hotspur","Carlos Goal (Tottenham Hotspur)","Carlos","Goal (Tottenham Hotspur)",FWD,"Spain",29,"",7.4,pl_18_p7
premier-league,"West Ham United","David Keeper (West Ham United)","David","Keeper (West Ham United)",GK,"Spain",28,"",3.9,pl_19_p1
premier-league,"West Ham United","Marco Defender (West Ham United)","Marco","Defender (West Ham United)",DEF,"Brazil",25,"",5.1,pl_19_p2
premier-league,"West Ham United","Lucas Back (West Ham United)","Lucas","Back (West Ham United)",DEF,"France",26,"",4.3,pl_19_p3
premier-league,"West Ham United","Matteo Midfielder (West Ham United)","Matteo","Midfielder (West Ham United)",MID,"Italy",24,"",5.5,pl_19_p4
premier-league,"West Ham United","Gabriel Playmaker (West Ham United)","Gabriel","Playmaker (West Ham United)",MID,"Argentina",27,"",4.7,pl_19_p5
premier-league,"West Ham United","Alex Striker (West Ham United)","Alex","Striker (West Ham United)",FWD,"England",22,"",5.9,pl_19_p6
premier-league,"West Ham United","Carlos Goal (West Ham United)","Carlos","Goal (West Ham United)",FWD,"Spain",29,"",5.1,pl_19_p7
premier-league,"Wolverhampton Wanderers","David Keeper (Wolverhampton Wanderers)","David","Keeper (Wolverhampton Wanderers)",GK,"Spain",28,"",4.3,pl_20_p1
premier-league,"Wolverhampton Wanderers","Marco Defender (Wolverhampton Wanderers)","Marco","Defender (Wolverhampton Wanderers)",DEF,"Brazil",25,"",4.0,pl_20_p2
premier-league,"Wolverhampton Wanderers","Lucas Back (Wolverhampton Wanderers)","Lucas","Back (Wolverhampton Wanderers)",DEF,"France",26,"",4.7,pl_20_p3
premier-league,"Wolverhampton Wanderers","Matteo Midfielder (Wolverhampton Wanderers)","Matteo","Midfielder (Wolverhampton Wanderers)",MID,"Italy",24,"",5.9,pl_20_p4
premier-league,"Wolverhampton Wanderers","Gabriel Playmaker (Wolverhampton Wanderers)","Gabriel","Playmaker (Wolverhampton Wanderers)",MID,"Argentina",27,"",5.1,pl_20_p5
premier-league,"Wolverhampton Wanderers","Alex Striker (Wolverhampton Wanderers)","Alex","Striker (Wolverhampton Wanderers)",FWD,"England",22,"",6.3,pl_20_p6
premier-league,"Wolverhampton Wanderers","Carlos Goal (Wolverhampton Wanderers)","Carlos","Goal (Wolverhampton Wanderers)",FWD,"Spain",29,"",5.5,pl_20_p7
la-liga,"Alavés","David Keeper (Alavés)","David","Keeper (Alavés)",GK,"Spain",28,"",4.7,ll_1_p1
la-liga,"Alavés","Marco Defender (Alavés)","Marco","Defender (Alavés)",DEF,"Brazil",25,"",4.4,ll_1_p2
la-liga,"Alavés","Lucas Back (Alavés)","Lucas","Back (Alavés)",DEF,"France",26,"",5.1,ll_1_p3
la-liga,"Alavés","Matteo Midfielder (Alavés)","Matteo","Midfielder (Alavés)",MID,"Italy",24,"",4.8,ll_1_p4
la-liga,"Alavés","Gabriel Playmaker (Alavés)","Gabriel","Playmaker (Alavés)",MID,"Argentina",27,"",5.5,ll_1_p5
la-liga,"Alavés","Alex Striker (Alavés)","Alex","Striker (Alavés)",FWD,"England",22,"",5.2,ll_1_p6
la-liga,"Alavés","Carlos Goal (Alavés)","Carlos","Goal (Alavés)",FWD,"Spain",29,"",5.9,ll_1_p7
la-liga,"Athletic Bilbao","David Keeper (Athletic Bilbao)","David","Keeper (Athletic Bilbao)",GK,"Spain",28,"",4.8,ll_2_p1
la-liga,"Athletic Bilbao","Marco Defender (Athletic Bilbao)","Marco","Defender (Athletic Bilbao)",DEF,"Brazil",25,"",6.0,ll_2_p2
la-liga,"Athletic Bilbao","Lucas Back (Athletic Bilbao)","Lucas","Back (Athletic Bilbao)",DEF,"France",26,"",5.2,ll_2_p3
la-liga,"Athletic Bilbao","Matteo Midfielder (Athletic Bilbao)","Matteo","Midfielder (Athletic Bilbao)",MID,"Italy",24,"",6.4,ll_2_p4
la-liga,"Athletic Bilbao","Gabriel Playmaker (Athletic Bilbao)","Gabriel","Playmaker (Athletic Bilbao)",MID,"Argentina",27,"",7.1,ll_2_p5
la-liga,"Athletic Bilbao","Alex Striker (Athletic Bilbao)","Alex","Striker (Athletic Bilbao)",FWD,"England",22,"",6.8,ll_2_p6
la-liga,"Athletic Bilbao","Carlos Goal (Athletic Bilbao)","Carlos","Goal (Athletic Bilbao)",FWD,"Spain",29,"",7.5,ll_2_p7
la-liga,"Atlético Madrid","David Keeper (Atlético Madrid)","David","Keeper (Atlético Madrid)",GK,"Spain",28,"",6.5,ll_3_p1
la-liga,"Atlético Madrid","Marco Defender (Atlético Madrid)","Marco","Defender (Atlético Madrid)",DEF,"Brazil",25,"",7.7,ll_3_p2
la-liga,"Atlético Madrid","Lucas Back (Atlético Madrid)","Lucas","Back (Atlético Madrid)",DEF,"France",26,"",6.9,ll_3_p3
la-liga,"Atlético Madrid","Matteo Midfielder (Atlético Madrid)","Matteo","Midfielder (Atlético Madrid)",MID,"Italy",24,"",8.1,ll_3_p4
la-liga,"Atlético Madrid","Gabriel Playmaker (Atlético Madrid)","Gabriel","Playmaker (Atlético Madrid)",MID,"Argentina",27,"",7.3,ll_3_p5
la-liga,"Atlético Madrid","Alex Striker (Atlético Madrid)","Alex","Striker (Atlético Madrid)",FWD,"England",22,"",8.5,ll_3_p6
la-liga,"Atlético Madrid","Carlos Goal (Atlético Madrid)","Carlos","Goal (Atlético Madrid)",FWD,"Spain",29,"",7.7,ll_3_p7
la-liga,"Barcelona","David Keeper (Barcelona)","David","Keeper (Barcelona)",GK,"Spain",28,"",6.5,ll_4_p1
la-liga,"Barcelona","Marco Defender (Barcelona)","Marco","Defender (Barcelona)",DEF,"Brazil",25,"",6.6,ll_4_p2
la-liga,"Barcelona","Lucas Back (Barcelona)","Lucas","Back (Barcelona)",DEF,"France",26,"",7.3,ll_4_p3
la-liga,"Barcelona","Matteo Midfielder (Barcelona)","Matteo","Midfielder (Barcelona)",MID,"Italy",24,"",7.0,ll_4_p4
la-liga,"Barcelona","Gabriel Playmaker (Barcelona)","Gabriel","Playmaker (Barcelona)",MID,"Argentina",27,"",7.7,ll_4_p5
la-liga,"Barcelona","Alex Striker (Barcelona)","Alex","Striker (Barcelona)",FWD,"England",22,"",8.9,ll_4_p6
la-liga,"Barcelona","Carlos Goal (Barcelona)","Carlos","Goal (Barcelona)",FWD,"Spain",29,"",8.1,ll_4_p7
la-liga,"Celta Vigo","David Keeper (Celta Vigo)","David","Keeper (Celta Vigo)",GK,"Spain",28,"",4.8,ll_5_p1
la-liga,"Celta Vigo","Marco Defender (Celta Vigo)","Marco","Defender (Celta Vigo)",DEF,"Brazil",25,"",4.5,ll_5_p2
la-liga,"Celta Vigo","Lucas Back (Celta Vigo)","Lucas","Back (Celta Vigo)",DEF,"France",26,"",5.2,ll_5_p3
la-liga,"Celta Vigo","Matteo Midfielder (Celta Vigo)","Matteo","Midfielder (Celta Vigo)",MID,"Italy",24,"",4.9,ll_5_p4
la-liga,"Celta Vigo","Gabriel Playmaker (Celta Vigo)","Gabriel","Playmaker (Celta Vigo)",MID,"Argentina",27,"",5.6,ll_5_p5
la-liga,"Celta Vigo","Alex Striker (Celta Vigo)","Alex","Striker (Celta Vigo)",FWD,"England",22,"",5.3,ll_5_p6
la-liga,"Celta Vigo","Carlos Goal (Celta Vigo)","Carlos","Goal (Celta Vigo)",FWD,"Spain",29,"",6.0,ll_5_p7
la-liga,"Espanyol","David Keeper (Espanyol)","David","Keeper (Espanyol)",GK,"Spain",28,"",3.7,ll_6_p1
la-liga,"Espanyol","Marco Defender (Espanyol)","Marco","Defender (Espanyol)",DEF,"Brazil",25,"",4.9,ll_6_p2
la-liga,"Espanyol","Lucas Back (Espanyol)","Lucas","Back (Espanyol)",DEF,"France",26,"",4.1,ll_6_p3
la-liga,"Espanyol","Matteo Midfielder (Espanyol)","Matteo","Midfielder (Espanyol)",MID,"Italy",24,"",5.3,ll_6_p4
la-liga,"Espanyol","Gabriel Playmaker (Espanyol)","Gabriel","Playmaker (Espanyol)",MID,"Argentina",27,"",4.5,ll_6_p5
la-liga,"Espanyol","Alex Striker (Espanyol)","Alex","Striker (Espanyol)",FWD,"England",22,"",5.7,ll_6_p6
la-liga,"Espanyol","Carlos Goal (Espanyol)","Carlos","Goal (Espanyol)",FWD,"Spain",29,"",6.4,ll_6_p7
la-liga,"Getafe","David Keeper (Getafe)","David","Keeper (Getafe)",GK,"Spain",28,"",4.1,ll_7_p1
la-liga,"Getafe","Marco Defender (Getafe)","Marco","Defender (Getafe)",DEF,"Brazil",25,"",5.3,ll_7_p2
la-liga,"Getafe","Lucas Back (Getafe)","Lucas","Back (Getafe)",DEF,"France",26,"",4.5,ll_7_p3
la-liga,"Getafe","Matteo Midfielder (Getafe)","Matteo","Midfielder (Getafe)",MID,"Italy",24,"",5.7,ll_7_p4
la-liga,"Getafe","Gabriel Playmaker (Getafe)","Gabriel","Playmaker (Getafe)",MID,"Argentina",27,"",4.9,ll_7_p5
la-liga,"Getafe","Alex Striker (Getafe)","Alex","Striker (Getafe)",FWD,"England",22,"",6.1,ll_7_p6
la-liga,"Getafe","Carlos Goal (Getafe)","Carlos","Goal (Getafe)",FWD,"Spain",29,"",5.3,ll_7_p7
la-liga,"Girona","David Keeper (Girona)","David","Keeper (Girona)",GK,"Spain",28,"",4.5,ll_8_p1
la-liga,"Girona","Marco Defender (Girona)","Marco","Defender (Girona)",DEF,"Brazil",25,"",4.2,ll_8_p2
la-liga,"Girona","Lucas Back (Girona)","Lucas","Back (Girona)",DEF,"France",26,"",4.9,ll_8_p3
la-liga,"Girona","Matteo Midfielder (Girona)","Matteo","Midfielder (Girona)",MID,"Italy",24,"",4.6,ll_8_p4
la-liga,"Girona","Gabriel Playmaker (Girona)","Gabriel","Playmaker (Girona)",MID,"Argentina",27,"",5.3,ll_8_p5
la-liga,"Girona","Alex Striker (Girona)","Alex","Striker (Girona)",FWD,"England",22,"",5.0,ll_8_p6
la-liga,"Girona","Carlos Goal (Girona)","Carlos","Goal (Girona)",FWD,"Spain",29,"",5.7,ll_8_p7
la-liga,"Las Palmas","David Keeper (Las Palmas)","David","Keeper (Las Palmas)",GK,"Spain",28,"",4.9,ll_9_p1
la-liga,"Las Palmas","Marco Defender (Las Palmas)","Marco","Defender (Las Palmas)",DEF,"Brazil",25,"",4.6,ll_9_p2
